node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
77,5,0,-0.9541110531705032,-1,0.6559801302204381,0.9350233093851681,-0.9558466995041038,0,0,0.0,0.0,0.0,10.5,0.5410072854618969,0.0,0.0,0.0,10.5,-0.9541110531705032,-1,5,0.9350233093851681
78,2,0,0.06388497993200963,1,0.2769759551066721,0.6837497762166946,0.1270791818801973,1,1,0.0,0.0,0.0,11.0,0.37886053186455915,0.0,0.0,0.0,11.0,0.06388497993200963,1,2,0.6837497762166946
79,2,0,0.11445345407626017,1,0.6685030127114289,0.9011018076268573,0.2249908492771089,0,0,0.0,0.0,0.0,7.0,0.5186546052105948,0.0,0.0,0.0,7.0,0.11445345407626017,1,2,0.9011018076268573
80,3,0,-0.9384830537069452,-1,0.7631068753766397,1.0,-0.9527318503768962,1,1,0.0,0.0,0.0,9.5,0.5365779348668462,0.0,0.0,0.0,9.5,-0.9384830537069452,-1,3,1.0
81,3,0,-0.9143350752161786,-1,0.6370249794478455,1.0,-0.9472559959215382,1,1,0.0,0.0,0.0,11.0,0.534208539182726,0.0,0.0,0.0,11.0,-0.9143350752161786,-1,3,1.0
82,2,0,0.9545154556152196,1,0.4647336490883349,0.7350534379746685,0.9557921409751972,0,0,0.0,0.0,0.0,8.5,0.4471018689976581,0.0,0.0,0.0,8.5,0.9545154556152196,1,2,0.7350534379746685
83,4,0,0.9566145527530449,1,0.7260068832510218,1.0,0.9561497461679974,1,1,0.0,0.0,0.0,9.5,0.5441055364156266,0.0,0.0,0.0,9.5,0.9566145527530449,1,4,1.0
84,1,0,0.9713866719738118,1,0.5164745780435354,0.8830895006074684,0.9590052072157722,1,1,0.0,0.0,0.0,9.5,0.39716497680633817,0.0,0.0,0.0,9.5,0.9713866719738118,1,1,0.8830895006074684
85,1,0,0.9667044628760513,1,0.6468625566900525,0.9261714076578501,0.9580605105924302,0,0,0.0,0.0,0.0,11.0,0.46867339353026966,0.0,0.0,0.0,11.0,0.9667044628760513,1,1,0.9261714076578501
86,2,0,-0.9486739215242143,-1,0.6923035663151625,1.0,-0.9547391090390086,1,1,0.0,0.0,0.0,11.0,0.5031539742754515,0.0,0.0,0.0,11.0,-0.9486739215242143,-1,2,1.0
87,3,0,0.9713848685627463,1,0.6496117170194036,1.0,0.958954455338533,1,1,0.0,0.0,0.0,11.0,0.5042950315432463,0.0,0.0,0.0,11.0,0.9713848685627463,1,3,1.0
88,2,0,-0.9226141218809226,-1,0.3727129256288924,0.7991336254652144,-0.949205924094756,1,1,0.0,0.0,0.0,10.5,0.42419629310483187,0.0,0.0,0.0,10.5,-0.9226141218809226,-1,2,0.7991336254652144
89,2,0,0.9587790885459548,1,0.2707063405434987,0.6820671660990353,0.9565278200509162,1,1,0.0,0.0,0.0,10.5,0.36425304734674985,0.0,0.0,0.0,10.5,0.9587790885459548,1,2,0.6820671660990353
90,1,0,0.10939306847498896,1,0.3430031176172361,0.7661076888794875,0.21536080084227868,1,1,0.0,0.0,0.0,10.5,0.3432997238578469,0.0,0.0,0.0,10.5,0.10939306847498896,1,1,0.7661076888794875
91,5,0,-0.9298789232023571,-1,0.501724962188212,0.7888539468493434,-0.9508980334743273,0,0,0.0,0.0,0.0,9.5,0.5032812604496725,0.0,0.0,0.0,9.5,-0.9298789232023571,-1,5,0.7888539468493434
92,3,0,-0.9668222463538967,-1,0.5031661533758576,0.8129648626586296,-0.958279473510755,0,0,0.0,0.0,0.0,10.5,0.4816000272561495,0.0,0.0,0.0,10.5,-0.9668222463538967,-1,3,0.8129648626586296
93,0,0,-0.9225699404674068,-1,0.5495866095887226,0.8258674631586461,-0.9491534937341927,0,0,0.0,0.0,0.0,11.0,0.3804873329950631,0.0,0.0,0.0,11.0,-0.9225699404674068,-1,0,0.8258674631586461
94,1,0,-0.9601843750802835,-1,0.43706110252873454,0.7202992483093981,-0.9570258911838156,0,0,0.0,0.0,0.0,10.5,0.3809703633255518,0.0,0.0,0.0,10.5,-0.9601843750802835,-1,1,0.7202992483093981
95,2,0,0.9596843874549732,1,0.6721348288700166,0.96328089732201,0.9567078959675102,0,0,0.0,0.0,0.0,10.5,0.5186546052105948,0.0,0.0,0.0,10.5,0.9596843874549732,1,2,0.96328089732201
96,1,0,0.9697755403744073,1,0.7478922502083247,0.9887353501249948,0.9587221705004028,0,0,0.0,0.0,0.0,9.0,0.4933220958903637,0.0,0.0,0.0,9.0,0.9697755403744073,1,1,0.9887353501249948
97,4,0,-0.9408443711567123,-1,0.3480350320876828,0.6547776672109421,-0.9531598140148528,0,0,0.0,0.0,0.0,10.5,0.4229107900173939,0.0,0.0,0.0,10.5,-0.9408443711567123,-1,4,0.6547776672109421
98,2,0,0.14906178638265896,1,0.6419139306211329,1.0,0.28959448737603105,1,1,0.0,0.0,0.0,10.0,0.5563585964658427,0.0,0.0,0.0,10.0,0.14906178638265896,1,2,1.0
99,2,0,-0.9392503836495459,-1,0.6067831115270268,0.9139495202578559,-0.9528921096047333,0,0,0.0,0.0,0.0,9.5,0.5072773641065632,0.0,0.0,0.0,9.5,-0.9392503836495459,-1,2,0.9139495202578559
100,2,0,-0.9299900026071002,-1,0.513854299567589,0.8910611606444461,-0.9508061850845402,1,1,0.0,0.0,0.0,11.0,0.4637457595335184,0.0,0.0,0.0,11.0,-0.9299900026071002,-1,2,0.8910611606444461
101,3,0,0.95864069737436,1,0.31311814032449614,0.5904257094188754,0.9565526165018134,0,0,0.0,0.0,0.0,9.5,0.384159612208472,0.0,0.0,0.0,9.5,0.95864069737436,1,3,0.5904257094188754
102,4,0,-0.917022249977679,-1,0.6771393551496259,0.9527970583256858,-0.9478826341236127,0,0,0.0,0.0,0.0,11.0,0.5353583771737005,0.0,0.0,0.0,11.0,-0.917022249977679,-1,4,0.9527970583256858
103,2,0,0.9751943081924942,1,0.7763757713772996,1.0,0.9596682535989166,1,1,0.0,0.0,0.0,11.0,0.4917340627806794,0.0,0.0,0.0,11.0,0.9751943081924942,1,2,1.0
104,2,0,-0.9320022130032509,-1,0.6331017993401682,1.0,-0.9513182440775458,1,1,0.0,0.0,0.0,10.0,0.46631030746467855,0.0,0.0,0.0,10.0,-0.9320022130032509,-1,2,1.0
105,2,0,0.9636388615047657,1,0.7507159979754405,1.0,0.9574646914679329,1,1,0.0,0.0,0.0,11.0,0.5186546052105948,0.0,0.0,0.0,11.0,0.9636388615047657,1,2,1.0
106,1,0,-0.895070290934874,-1,0.7905111589687999,1.0,-0.9425440217445069,0,0,0.0,0.0,0.0,11.0,0.4933220958903637,0.0,0.0,0.0,11.0,-0.895070290934874,-1,1,1.0
107,4,0,0.9558401356544651,1,0.411230404543543,0.719914838166435,0.9559381611032506,0,0,0.0,0.0,0.0,10.5,0.4530522434162398,0.0,0.0,0.0,10.5,0.9558401356544651,1,4,0.719914838166435
108,1,0,-0.9284018371516217,-1,0.5829341317558022,0.8524072124743337,-0.9505349563661102,0,0,0.0,0.0,0.0,10.0,0.4292766754855172,0.0,0.0,0.0,10.0,-0.9284018371516217,-1,1,0.8524072124743337
109,1,0,-0.9079110105808397,-1,0.48435964258284686,0.8634945551878934,-0.9457818853957907,1,1,0.0,0.0,0.0,10.5,0.39681381051428155,0.0,0.0,0.0,10.5,-0.9079110105808397,-1,1,0.8634945551878934
