node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
48,1,0,-0.9995021280151832,-1,0.32033748279293245,0.7293031990087702,-0.9639471610940822,1,1,0.0,0.0,0.0,11.0,0.35898781657188,0.0,0.0,0.0,11.0,-0.9995021280151832,-1,1,0.7293031990087702
49,3,0,-0.9996301733283093,-1,0.31122516368149145,0.6258988175855398,-0.9639678605092177,0,0,0.0,0.0,0.0,11.0,0.4019877381360039,0.0,0.0,0.0,11.0,-0.9996301733283093,-1,3,0.6258988175855398
50,0,0,-0.9996358210929492,-1,0.4782968662777258,0.8481208383288508,-0.9639687732409548,1,1,0.0,0.0,0.0,11.0,0.38424448322711224,0.0,0.0,0.0,11.0,-0.9996358210929492,-1,0,0.8481208383288508
51,2,0,-0.9996653727707935,-1,0.373657824504839,0.7032011718161527,-0.9639736797671138,0,0,0.0,0.0,0.0,10.5,0.42804847792502915,0.0,0.0,0.0,10.5,-0.9996653727707935,-1,2,0.7032011718161527
52,1,0,-0.999662116633465,-1,0.6776362685755226,0.9665817611453137,-0.9639730225481045,0,0,0.0,0.0,0.0,11.0,0.4933220958903637,0.0,0.0,0.0,11.0,-0.999662116633465,-1,1,0.9665817611453137
53,2,0,0.7808547868176406,1,0.7445629348342895,1.0,0.915696983427871,1,1,0.0,0.0,0.0,4.5,0.4933220958903637,0.0,0.0,0.0,4.5,0.7808547868176406,1,2,1.0
54,0,0,0.06687064224507787,1,0.6816323631730195,0.9289794179038117,0.1329495504870495,0,0,0.0,0.0,0.0,8.0,0.45016600268752216,0.0,0.0,0.0,8.0,0.06687064224507787,1,0,0.9289794179038117
55,4,0,0.3342665736477144,1,0.35961852357299917,0.70863465383965,0.5840141613451696,1,1,0.0,0.0,0.0,10.0,0.38704404277505794,0.0,0.0,0.0,10.0,0.3342665736477144,1,4,0.70863465383965
56,2,0,-0.9995813939372136,-1,0.36448063621316507,0.6322291017653392,-0.963960140379064,0,0,0.0,0.0,0.0,10.5,0.3579176377786175,0.0,0.0,0.0,10.5,-0.9995813939372136,-1,2,0.6322291017653392
57,3,0,-0.9995872271101225,-1,0.3528370100704805,0.7733550817756473,-0.9639610809868672,1,1,0.0,0.0,0.0,10.5,0.4090463804809664,0.0,0.0,0.0,10.5,-0.9995872271101225,-1,3,0.7733550817756473
58,2,0,-0.9996462137488601,-1,0.2810228576337417,0.6509666051586663,-0.9639704527323166,1,1,0.0,0.0,0.0,11.0,0.32634589832842226,0.0,0.0,0.0,11.0,-0.9996462137488601,-1,2,0.6509666051586663
59,0,0,-0.9999662702039661,-1,0.7662790208622268,1.0,-0.9640221643279956,1,1,0.0,0.0,0.0,10.0,0.45016600268752216,0.0,0.0,0.0,10.0,-0.9999662702039661,-1,0,1.0
60,1,0,-0.9997218855692953,-1,0.44122867889424167,0.8078682903338089,-0.963982788165418,1,1,0.0,0.0,0.0,10.5,0.40628692642024195,0.0,0.0,0.0,10.5,-0.9997218855692953,-1,1,0.8078682903338089
61,5,0,-0.9998252285352555,-1,0.33481368472752426,0.7180046399227368,-0.9639994385265283,1,1,0.0,0.0,0.0,10.5,0.3915940577713375,0.0,0.0,0.0,10.5,-0.9998252285352555,-1,5,0.7180046399227368
62,3,0,-0.9998989479594599,-1,0.7080026303049463,0.9648015781829679,-0.9640113952757651,0,0,0.0,0.0,0.0,9.5,0.5365779348668462,0.0,0.0,0.0,9.5,-0.9998989479594599,-1,3,0.9648015781829679
63,2,0,-0.9997380689662393,-1,0.43951718159467434,0.7064705672144614,-0.9639856136595747,0,0,0.0,0.0,0.0,9.5,0.3886653646479025,0.0,0.0,0.0,9.5,-0.9997380689662393,-1,2,0.7064705672144614
64,4,0,0.5002614546119941,1,0.22107008666579997,0.4518088530060552,0.7618136769697647,0,0,0.0,0.0,0.0,9.0,0.3118703051493266,0.0,0.0,0.0,9.0,0.5002614546119941,1,4,0.4518088530060552
65,2,0,-0.9995088042136232,-1,0.29716494214977873,0.5730300362817354,-0.9639482406363629,0,0,0.0,0.0,0.0,11.0,0.33870800214727226,0.0,0.0,0.0,11.0,-0.9995088042136232,-1,2,0.5730300362817354
66,0,0,0.4183772977445504,1,0.5835502042137021,0.9592171170052533,0.6840862535754894,1,1,0.0,0.0,0.0,10.5,0.3943392276815058,0.0,0.0,0.0,10.5,0.4183772977445504,1,0,0.9592171170052533
67,3,0,0.13790948006024026,1,0.6697431645030345,0.9967577394917568,0.26903103493924463,1,1,0.0,0.0,0.0,7.5,0.5223507852018342,0.0,0.0,0.0,7.5,0.13790948006024026,1,3,0.9967577394917568
68,3,0,0.2699091939055922,1,0.3265606330932278,0.625657640380627,0.4928504806846417,0,0,0.0,0.0,0.0,10.0,0.39181704577873033,0.0,0.0,0.0,10.0,0.2699091939055922,1,3,0.625657640380627
