node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
231,0,0,0.9999124351946864,1,0.5094124631131833,0.8783352882412632,0.9640130796759228,1,1,0.0,0.0,0.0,10.5,0.3559686239903862,0.0,0.0,0.0,10.5,0.9999124351946864,1,0,0.8783352882412632
232,2,0,-0.9996937307231989,-1,0.48895495352362617,0.9120711763158166,-0.9639782506166098,1,1,0.0,0.0,0.0,10.5,0.4722273628560603,0.0,0.0,0.0,10.5,-0.9996937307231989,-1,2,0.9120711763158166
233,1,0,0.04283004854070858,1,0.7530109905425424,1.0,0.08545119553125645,0,0,0.0,0.0,0.0,9.5,0.4933220958903637,0.0,0.0,0.0,9.5,0.04283004854070858,1,1,1.0
234,3,0,-0.9996974512373249,-1,0.4961039482618047,0.8719234641826903,-0.9639787317752877,1,1,0.0,0.0,0.0,11.0,0.44047081965979434,0.0,0.0,0.0,11.0,-0.9996974512373249,-1,3,0.8719234641826903
235,2,0,-0.9996364979269935,-1,0.48099232081659865,0.9112803623229285,-0.9639688826221615,1,1,0.0,0.0,0.0,11.0,0.476700745273816,0.0,0.0,0.0,11.0,-0.9996364979269935,-1,2,0.9112803623229285
236,0,0,0.9999264702999422,1,0.7773199931208212,1.0,0.9640155227123038,1,1,0.0,0.0,0.0,9.0,0.45016600268752216,0.0,0.0,0.0,9.0,0.9999264702999422,1,0,1.0
237,2,0,-0.9996494671728634,-1,0.470345878160529,0.7542062573985192,-0.9639709784817893,0,0,0.0,0.0,0.0,11.0,0.4203461343951392,0.0,0.0,0.0,11.0,-0.9996494671728634,-1,2,0.7542062573985192
238,2,0,0.1269135472752454,1,0.3085306581932542,0.5662532408750502,0.24851280167825765,0,0,0.0,0.0,0.0,11.0,0.3251420367252435,0.0,0.0,0.0,11.0,0.1269135472752454,1,2,0.5662532408750502
239,0,0,-0.9998416663171336,-1,0.33014967368347303,0.5768965563835248,-0.9640026923509183,0,0,0.0,0.0,0.0,6.5,0.3218310744584747,0.0,0.0,0.0,6.5,-0.9998416663171336,-1,0,0.5768965563835248
240,1,0,0.999956467494138,1,0.2571125230021845,0.5454525794322722,0.9640203719749137,0,0,0.0,0.0,0.0,10.5,0.3129463935856204,0.0,0.0,0.0,10.5,0.999956467494138,1,1,0.5454525794322722
241,1,0,0.999914258342494,1,0.20034087755536667,0.44595090231919166,0.9640136222179856,0,0,0.0,0.0,0.0,8.0,0.2888749261807303,0.0,0.0,0.0,8.0,0.999914258342494,1,1,0.44595090231919166
242,0,0,-0.999576166894135,-1,0.4591673966002892,0.74445939164681,-0.9639591314166202,0,0,0.0,0.0,0.0,11.0,0.35213112354778836,0.0,0.0,0.0,11.0,-0.999576166894135,-1,0,0.74445939164681
243,0,0,0.9999010680990812,1,0.661545548778933,1.0,0.964011147730153,1,1,0.0,0.0,0.0,11.0,0.45016600268752216,0.0,0.0,0.0,11.0,0.9999010680990812,1,0,1.0
244,0,0,-0.9997709596136656,-1,0.6400798656799016,1.0,-0.9639906957954917,1,1,0.0,0.0,0.0,10.5,0.42538301155220554,0.0,0.0,0.0,10.5,-0.9997709596136656,-1,0,1.0
245,0,0,0.9999284181934454,1,0.21928945268171013,0.44698806349166265,0.9640158839509265,0,0,0.0,0.0,0.0,8.5,0.24589347270965012,0.0,0.0,0.0,8.5,0.9999284181934454,1,0,0.44698806349166265
