seed,tolerance_threshold,final_mean_opinion,final_std_opinion,final_mean_abs_opinion,final_opinion_variance,final_extremist_ratio,final_moderate_ratio,final_homophily_ratio,final_cross_cutting_ratio,final_sign_modularity,final_edge_count
43,0.3,-0.012948634108316561,0.5599221752187904,0.4224581952820395,0.3131993294594401,0.321,0.596,0.5294635004397538,0.47053649956024624,0.028425607245055245,3411
44,0.3,0.010713121535507537,0.5844437344736225,0.4568829451025051,0.34123290428670866,0.356,0.538,0.5269537480063796,0.4730462519936204,0.022826739307937882,3135
45,0.3,0.029236310615325608,0.5775582805196631,0.44997297608592113,0.33323999382943303,0.339,0.554,0.5360374414976599,0.46396255850234014,0.025770439177517757,3205
46,0.3,0.014317095761947677,0.5606139251130186,0.42902329141201284,0.3139736850575946,0.316,0.577,0.5004568991775815,0.4995431008224185,3.281857438761082e-05,3283
47,0.3,-0.015954693117153782,0.5597677388647953,0.4304062537297906,0.31302658155233176,0.315,0.567,0.524300441826215,0.47569955817378495,0.024060422183347807,3395
48,0.3,-0.009157847004807776,0.5706282738190458,0.43534540208089,0.3252910102548222,0.327,0.58,0.5216174183514775,0.47838258164852254,0.022158406749662463,3215
49,0.3,0.00015046565843594627,0.5675486291806023,0.43258660900704204,0.32178933503829615,0.32,0.592,0.5268445839874412,0.47315541601255884,0.025676516397972887,3185
50,0.3,0.0036920297549387724,0.5748743803076206,0.4446320805550585,0.3301500725809367,0.338,0.564,0.5095846645367412,0.4904153354632588,0.006585286824036279,3130
51,0.3,0.009268041174163102,0.540170100204936,0.4089590348703267,0.2914919534182553,0.297,0.612,0.5128286347798543,0.4871713652201457,0.013138303383491506,3157
52,0.3,0.021599202723810912,0.5702746143791096,0.4400450057501614,0.32488792266943695,0.336,0.569,0.5158520475561427,0.48414795244385733,0.014731192538390031,3028
53,0.3,0.0026719041086165516,0.5524186146119635,0.4174069366269861,0.30486115944403125,0.313,0.594,0.5017974835230677,0.49820251647693226,0.002539043830017712,3338
54,0.3,0.004763967512298873,0.5708105030423894,0.43819436839760895,0.32549880575312223,0.334,0.55,0.539255552080075,0.46074444791992497,0.03769158086269031,3197
55,0.3,-0.016183022255618903,0.5779419491566419,0.4453682467521148,0.3336828796983835,0.342,0.566,0.5104166666666666,0.48958333333333337,0.009741785185677393,3168
56,0.3,-0.015329110177301247,0.5579005094871012,0.43011158650536585,0.3109417255074811,0.328,0.576,0.5115530856975724,0.4884469143024276,0.01132621540014439,3419
