node,F_t,L,o_t,tau_t,tau_t1,s_t,Abar,A_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
64,1,0,-0.8588085511636268,10.0,10.0,-1,0.3553117639543326,0.6988606546308498,0,0,0.0,1.0,6.5,3.5,0.13110975481727902,0.0,1.0,6.5,3.5,-0.8588085511636268,-1,1,0.6988606546308498
65,12,0,-0.19911026408711785,10.0,10.0,-1,0.4618497762140225,0.697632568235876,0,0,0.0,0.0,3.0,3.5,0.21987233458066538,0.0,0.0,3.0,3.5,-0.19911026408711785,-1,12,0.697632568235876
66,3,0,-1.0,10.0,10.0,-1,0.6139640177672437,1.0,1,1,0.0,1.0,8.0,3.0,0.23086623816251947,0.0,1.0,8.0,3.0,-1.0,-1,3,1.0
67,1,0,0.2892519394837854,10.0,10.0,1,0.41409660359478423,0.6495982268321457,0,0,0.0,1.0,4.0,1.5,0.1392441521118284,0.0,1.0,4.0,1.5,0.2892519394837854,1,1,0.6495982268321457
68,7,0,-1.0,10.0,10.0,-1,0.24037630863869336,0.6107624122557622,0,0,0.0,2.0,5.0,5.5,0.1517778293284801,0.0,2.0,5.0,5.5,-1.0,-1,7,0.6107624122557622
69,1,0,0.7220757715659079,10.0,10.0,1,0.4416770554666379,0.6825759980321716,0,0,0.0,1.0,3.5,2.5,0.13732954731494618,0.0,1.0,3.5,2.5,0.7220757715659079,1,1,0.6825759980321716
70,9,0,-1.0,10.0,10.0,-1,0.3563533966888592,0.7462567215695604,0,0,0.0,1.0,4.0,6.5,0.21783076933778933,0.0,1.0,4.0,6.5,-1.0,-1,9,0.7462567215695604
71,3,0,-1.0,10.0,10.0,-1,0.3949580067267271,0.8749807265535793,1,1,0.0,1.0,7.0,5.5,0.16705926401391316,0.0,1.0,7.0,5.5,-1.0,-1,3,0.8749807265535793
72,7,0,-1.0,10.0,10.0,-1,0.2977743474723827,0.5874485136735202,0,0,0.0,0.0,3.5,4.5,0.16512047952094094,0.0,0.0,3.5,4.5,-1.0,-1,7,0.5874485136735202
73,0,0,0.21626982991271873,10.0,10.0,-1,0.5953040416673885,0.8629857846846897,0,0,0.0,0.0,3.0,5.5,0.1539585580649505,0.0,0.0,3.0,5.5,0.21626982991271873,-1,0,0.8629857846846897
74,1,0,-0.6415984066948822,10.0,10.0,1,0.5159785599471349,0.9019132117696191,1,0,0.0,1.0,6.0,6.5,0.169208684827344,0.0,1.0,6.0,6.5,-0.6415984066948822,1,1,0.9019132117696191
